hour,electricity_price
1,602.79
2,620.69
3,611.67
4,620.54
5,639.86
6,675.95
7,780.95
8,1025.33
9,1205.73
10,957.69
11,776.33
12,693.7
13,600.93
14,574.75
15,562.45
16,657.83
17,696.23
18,1009.67
19,1428.86
20,1312.52
21,833.08
22,754.85
23,767.6
24,694.74
25,602.79
26,620.69
27,611.67
28,620.54
29,639.86
30,675.95
31,780.95
32,1025.33
33,1205.73
34,957.69
35,776.33
36,693.7
37,600.93
38,574.75
39,562.45
40,657.83
41,696.23
42,1009.67
43,1428.86
44,1312.52
45,833.08
46,754.85
47,767.6
48,694.74
49,602.79
50,620.69
51,611.67
52,620.54
53,639.86
54,675.95
55,780.95
56,1025.33
57,1205.73
58,957.69
59,776.33
60,693.7
61,600.93
62,574.75
63,562.45
64,657.83
65,696.23
66,1009.67
67,1428.86
68,1312.52
69,833.08
70,754.85
71,767.6
72,694.74
73,602.79
74,620.69
75,611.67
76,620.54
77,639.86
78,675.95
79,780.95
80,1025.33
81,1205.73
82,957.69
83,776.33
84,693.7
85,600.93
86,574.75
87,562.45
88,657.83
89,696.23
90,1009.67
91,1428.86
92,1312.52
93,833.08
94,754.85
95,767.6
96,694.74
97,602.79
98,620.69
99,611.67
100,620.54
101,639.86
102,675.95
103,780.95
104,1025.33
105,1205.73
106,957.69
107,776.33
108,693.7
109,600.93
110,574.75
111,562.45
112,657.83
113,696.23
114,1009.67
115,1428.86
116,1312.52
117,833.08
118,754.85
119,767.6
120,694.74
121,602.79
122,620.69
123,611.67
124,620.54
125,639.86
126,675.95
127,780.95
128,1025.33
129,1205.73
130,957.69
131,776.33
132,693.7
133,600.93
134,574.75
135,562.45
136,657.83
137,696.23
138,1009.67
139,1428.86
140,1312.52
141,833.08
142,754.85
143,767.6
144,694.74
145,602.79
146,620.69
147,611.67
148,620.54
149,639.86
150,675.95
151,780.95
152,1025.33
153,1205.73
154,957.69
155,776.33
156,693.7
157,600.93
158,574.75
159,562.45
160,657.83
161,696.23
162,1009.67
163,1428.86
164,1312.52
165,833.08
166,754.85
167,767.6
168,694.74
169,602.79
170,620.69
171,611.67
172,620.54
173,639.86
174,675.95
175,780.95
176,1025.33
177,1205.73
178,957.69
179,776.33
180,693.7
181,600.93
182,574.75
183,562.45
184,657.83
185,696.23
186,1009.67
187,1428.86
188,1312.52
189,833.08
190,754.85
191,767.6
192,694.74
193,602.79
194,620.69
195,611.67
196,620.54
197,639.86
198,675.95
199,780.95
200,1025.33
201,1205.73
202,957.69
203,776.33
204,693.7
205,600.93
206,574.75
207,562.45
208,657.83
209,696.23
210,1009.67
211,1428.86
212,1312.52
213,833.08
214,754.85
215,767.6
216,694.74
217,602.79
218,620.69
219,611.67
220,620.54
221,639.86
222,675.95
223,780.95
224,1025.33
225,1205.73
226,957.69
227,776.33
228,693.7
229,600.93
230,574.75
231,562.45
232,657.83
233,696.23
234,1009.67
235,1428.86
236,1312.52
237,833.08
238,754.85
239,767.6
240,694.74
241,602.79
242,620.69
243,611.67
244,620.54
245,639.86
246,675.95
247,780.95
248,1025.33
249,1205.73
250,957.69
251,776.33
252,693.7
253,600.93
254,574.75
255,562.45
256,657.83
257,696.23
258,1009.67
259,1428.86
260,1312.52
261,833.08
262,754.85
263,767.6
264,694.74
265,602.79
266,620.69
267,611.67
268,620.54
269,639.86
270,675.95
271,780.95
272,1025.33
273,1205.73
274,957.69
275,776.33
276,693.7
277,600.93
278,574.75
279,562.45
280,657.83
281,696.23
282,1009.67
283,1428.86
284,1312.52
285,833.08
286,754.85
287,767.6
288,694.74
289,602.79
290,620.69
291,611.67
292,620.54
293,639.86
294,675.95
295,780.95
296,1025.33
297,1205.73
298,957.69
299,776.33
300,693.7
301,600.93
302,574.75
303,562.45
304,657.83
305,696.23
306,1009.67
307,1428.86
308,1312.52
309,833.08
310,754.85
311,767.6
312,694.74
313,602.79
314,620.69
315,611.67
316,620.54
317,639.86
318,675.95
319,780.95
320,1025.33
321,1205.73
322,957.69
323,776.33
324,693.7
325,600.93
326,574.75
327,562.45
328,657.83
329,696.23
330,1009.67
331,1428.86
332,1312.52
333,833.08
334,754.85
335,767.6
336,694.74
337,602.79
338,620.69
339,611.67
340,620.54
341,639.86
342,675.95
343,780.95
344,1025.33
345,1205.73
346,957.69
347,776.33
348,693.7
349,600.93
350,574.75
351,562.45
352,657.83
353,696.23
354,1009.67
355,1428.86
356,1312.52
357,833.08
358,754.85
359,767.6
360,694.74
361,602.79
362,620.69
363,611.67
364,620.54
365,639.86
366,675.95
367,780.95
368,1025.33
369,1205.73
370,957.69
371,776.33
372,693.7
373,600.93
374,574.75
375,562.45
376,657.83
377,696.23
378,1009.67
379,1428.86
380,1312.52
381,833.08
382,754.85
383,767.6
384,694.74
385,602.79
386,620.69
387,611.67
388,620.54
389,639.86
390,675.95
391,780.95
392,1025.33
393,1205.73
394,957.69
395,776.33
396,693.7
397,600.93
398,574.75
399,562.45
400,657.83
401,696.23
402,1009.67
403,1428.86
404,1312.52
405,833.08
406,754.85
407,767.6
408,694.74
409,602.79
410,620.69
411,611.67
412,620.54
413,639.86
414,675.95
415,780.95
416,1025.33
417,1205.73
418,957.69
419,776.33
420,693.7
421,600.93
422,574.75
423,562.45
424,657.83
425,696.23
426,1009.67
427,1428.86
428,1312.52
429,833.08
430,754.85
431,767.6
432,694.74
433,602.79
434,620.69
435,611.67
436,620.54
437,639.86
438,675.95
439,780.95
440,1025.33
441,1205.73
442,957.69
443,776.33
444,693.7
445,600.93
446,574.75
447,562.45
448,657.83
449,696.23
450,1009.67
451,1428.86
452,1312.52
453,833.08
454,754.85
455,767.6
456,694.74
457,602.79
458,620.69
459,611.67
460,620.54
461,639.86
462,675.95
463,780.95
464,1025.33
465,1205.73
466,957.69
467,776.33
468,693.7
469,600.93
470,574.75
471,562.45
472,657.83
473,696.23
474,1009.67
475,1428.86
476,1312.52
477,833.08
478,754.85
479,767.6
480,694.74
481,602.79
482,620.69
483,611.67
484,620.54
485,639.86
486,675.95
487,780.95
488,1025.33
489,1205.73
490,957.69
491,776.33
492,693.7
493,600.93
494,574.75
495,562.45
496,657.83
497,696.23
498,1009.67
499,1428.86
500,1312.52
501,833.08
502,754.85
503,767.6
504,694.74
